Front,Back,Tags
"Commande pour vérifier l'environnement conda mlops","make check-env (doit afficher OK ML et OK GEO)","S1::commandes,setup"
"Commande pour entraîner le modèle UHI","make train SERVICE=uhi_service","S1::commandes,MLOps"
"Commande pour lancer l'API FastAPI","make serve SERVICE=uhi_service (port 8000 par défaut, changeable avec PORT=8001)","S1::commandes,API"
"Commande pour tester l'API avec curl","make smoke SERVICE=uhi_service","S1::commandes,test"
"Pourquoi utiliser conda-forge et pas pip pour GDAL sur Mac M1 ?","Les binaires ARM64 natifs ne sont disponibles que via conda-forge. pip install gdal échoue ou installe des versions incompatibles.","S1::GIS,Mac_M1,best_practices"
"Quel fichier définit les dépendances de l'environnement ?","environment.yml (à la racine du projet, liste packages conda et pip)","S1::setup,fichiers"
"À quoi sert joblib.dump() ?","Sauvegarde un modèle scikit-learn sérialisé (objets Python complexes) en fichier .pkl","S1::ML,persistance"
"Comment accéder à la documentation interactive de l'API ?","Ouvrir http://localhost:8000/docs dans le navigateur (Swagger UI auto-généré par FastAPI)","S1::API,debug"
"Pourquoi le modèle UHI est-il sauvegardé en .pkl et pas en .json ?","Un RandomForest contient des structures Python complexes (arbres de décision, pas juste des poids). JSON ne peut pas sérialiser ces objets.","S1::ML,formats"
"Que fait le endpoint /healthz ?","Vérifie que l'API est opérationnelle et que le modèle est chargé (retourne status ok/model_loaded)","S1::API,monitoring"
"Structure d'une requête POST /predict pour UHI","JSON avec 3 clés : ndvi (float 0-1), building_density (float 0-1), water_distance (float mètres)","S1::API,schema"
"Que signifie MAE et quelle est la valeur acceptable pour S1 ?","Mean Absolute Error (erreur absolue moyenne). S1 : ~8.5 sur données synthétiques. Cible production : ≤10%","S1::ML,metriques"
"Où sont sauvegardées les captures d'écran de l'API ?","docs/screenshots/ (s1_api_overview.png, s1_predict_schema.png, s1_predict_response.png)","S1::documentation,fichiers"
